street,city,state,postal_code,latitude,longitude
6961 Us Hwy 431,Albertville,AL,35950,34.274005903133,-86.200271983884
1910 Quintard Ave.,Anniston,AL,36201,33.6691906555,-85.826843223321
812 Academy Dr,Bessemer,AL,35022,,
104 Inverness Cors,Birmingham,AL,35242,,
5475-A Al Highway 157 Nw,Cullman,AL,35058,34.20645226888,-86.865290512385
1501 A Us Highway 98 Ste 5,Daphne,AL,36526,30.599484519566,-87.898327695928
2606 Cloverdale Road,Florence,AL,35633,34.839711750873,-87.687731505892
1908a Rainbow Dr,Gadsden,AL,35901,33.97535739785,-86.013916116617
600 Fieldstown Road,Gardendale,AL,35071,33.652400974197,-86.823842436617
81 Jameson Lane Ste A,Greenville,AL,36037,31.851469720426,-86.642348171264
6559 Highway 431 S,Hampton Cove,AL,35763,,
3062 Allison Bonnett Memorial Dr,Hueytown,AL,35023,33.45031502762,-86.983846097727
11602 Memorial Pkwy Sw,Huntsville,AL,35803,34.617031929887,-86.567388234325
2191a Winchester Rd Ne,Huntsville,AL,35811,34.817305571679,-86.493286027311
704 Pelham Road South,Jacksonville,AL,36265,33.826275613297,-85.76403902685
8955 Madison Blvd,Madison,AL,35758,34.675968130282,-86.753069939548
2050 Eastern Blvd.,Montgomery,AL,36117,32.352371862311,-86.219474710259
2737 Hwy 280 South Ste A1-A2,Mountain Brk,AL,35223,,
2254 Pelham Parkway,Pelham,AL,35124,33.332566331807,-86.792156696353
180 Martin Street N,Pell City,AL,35125,,
2136 Cobbs Ford Rd Ste 2136-2138,Prattville,AL,36066,32.459679346694,-86.410967529833
14175 Highway 43,Russellville,AL,35653,34.497406245506,-87.721951583863
13 Jacintoport Blvd,Saraland,AL,36571,,
1307 E Highland Ave,Selma,AL,36703,32.431534455913,-87.018352148146
7880 Moffett Rd Ste 300,Semmes,AL,36575,30.764334184247,-88.227776835002
81 Mcs Blvd,Sylacauga,AL,35150,,
518 Battle St E,Talladega,AL,35160,33.433237628216,-86.11018750164
1112 Highway 231 S,Troy,AL,36081,31.783986118074,-85.95886066073
1460 Montgomery Hwy,Vestavia Hills,AL,35216,33.417540465137,-86.802507042252
102 Wp Malone Dr,Arkadelphia,AR,71923,34.11812848991,-93.095146265509
298 E Centerton Blvd,Centerton,AR,72719,36.358491353063,-94.281906152614
1612 N College Ave # 3,Fayetteville,AR,72703,36.083134644538,-94.155836925476
4201 Phoenix Ave,Fort Smith,AR,72903,35.338686632049,-94.388122460016
2308 N Hervey St,Hope,AR,71801,33.683154522913,-93.612399270632
17807 Chenal Pkwy,Little Rock,AR,72223,34.76820521896,-92.457641884289
12018 Chenal Pkwy Ste B,Little Rock,AR,72211,34.749505605423,-92.40896238963
5514 S Olive St,Pine Bluff,AR,71603,34.173896492396,-92.006578535334
2204 S Promenade Blvd Spc 1,Rogers,AR,72758,36.30515343348,-94.179054357299
2254 Fayetteville Rd Ste A,Van Buren,AR,72956,35.470713825868,-94.356155401192
