street,city,state,postal_code,latitude,longitude
1221 W 4th St,Adel,GA,31620,31.136508334183,-83.440124078455
1515 E Us 223,Adrian,MI,49221,41.874984467037,-84.033118972195
790 Arlington Rdg,Akron,OH,44312,41.043600186727,-81.439901426642
718 Del Sol Dr,Alamosa,CO,81101,37.480781246241,-105.902701485998
2831 Ledo Rd,Albany,GA,31707,31.622595320423,-84.214004250264
120 Westview Shopping Ctr,Albany,KY,42602,36.69817961831,-85.14471619186
3510 Coors Blvd Sw,Albuquerque,NM,87121,35.025173291716,-106.714192553368
7011f Manchester Blvd,Alexandria,VA,22310,38.763868541529,-77.150660375853
2521 E Main St,Alice,TX,78332,27.765861681104,-98.043652329724
6370 Lake Michigan Dr,Allendale,MI,49401,42.972160723673,-85.943510575454
7455 N Alger Rd,Alma,MI,48801,43.399316441422,-84.666853843021
1006 E Holland Ave,Alpine,TX,79830,30.36020254211,-103.652569972518
3427 S Soncy Rd,Amarillo,TX,79119,35.1760293082,-101.938067097279
2801 Grand Ave,Ames,IA,50010,42.050595083253,-93.620731483382
912 W Oak St,Amite,LA,70422,30.726640875856,-90.522052641313
401 North Main Street,Andrews,TX,79714,32.315463907733,-102.545474862868
380 North Main Street,Angels Camp,CA,95222,38.086805834801,-120.568991596107
7815 Richmond Hwy,Appomattox,VA,24522,37.364200682394,-78.846002660823
660 Main St,Arcade,NY,14009,42.53176393274,-78.453481780766
912 North Collins,Arlington,TX,76011,32.748287214263,-97.097404544355
2445 N Harrison St,Arlington,VA,22207,38.896800306822,-77.138391700028
1700 W Main St,Artesia,NM,88210,32.842234444127,-104.417779536379
10 Highway 62 412,Ash Flat,AR,72513,,
44110 Ashburn Shopping Plz,Ashburn,VA,20147,39.044798568611,-77.476760788083
203 Loop 59,Atlanta,TX,75551,,
168 Lindberg Ave,Atmore,AL,36502,31.005062975081,-87.489762659852
12901 North Ih 35,Austin,TX,78753,30.418067428429,-97.672321558322
10930 Lakeline Mall Dr,Austin,TX,78717,30.474858236781,-97.795368328013
6929 Airport Blvd,Austin,TX,78752,30.335627185138,-97.717652358945
166 Hargraves Dr,Austin,TX,78737,30.204892471587,-97.978990120232
7710 N Fm 620 Rd,Austin,TX,78726,30.40718520141,-97.85227346404
1308 Springfield Rd,Ava,MO,65608,36.961271021799,-92.672057286317
20475 Biscayne Blvd G13,Aventura,FL,33180,25.96602444161,-80.145957607257
101 Fawcett Rd,Avon,CO,81620,,
4915 Richmond Tappahannock Hwy,Aylett,VA,23009,37.744089600741,-77.13402669052
1002 Granite Dr,Bardstown,KY,40004,,
2311 Se Adams Blvd,Bartlesville,OK,74006,36.742481203273,-95.950409109426
711 E Valley Rd,Basalt,CO,81621,39.387979710014,-107.083677843065
6033 Mer Rouge Rd,Bastrop,LA,71220,32.773455359978,-91.873544412602
3050 Harrison St,Batesville,AR,72501,35.764544373047,-91.616536041785
105 John R Lovelace Dr,Batesville,MS,38606,34.30939128018,-89.914225926606
13730 Millerville Greens Blvd,Baton Rouge,LA,70816,,
2059 W. Center St.,Beebe,AR,72012,35.06844523059,-91.905757603304
2400 N Saint Marys St,Beeville,TX,78102,28.423259240877,-97.757018282791
138 Main St,Belfast,ME,4915,44.425268189319,-69.00890477133
1915 Carlyle Ave,Belleville,IL,62221,38.519287566114,-89.883322172429
995 W 4th St,Benson,AZ,85602,31.970996238984,-110.315535690571
928 West Trimble Ave,Berryville,AR,72616,36.377652127117,-93.585102740515
