street,city,state,postal_code,latitude,longitude
4131 University Ave,Des Moines,IA,50311,41.600395908996,-93.673381975539
1101 73rd St,Des Moines,IA,50324,,
3801 Merle Hay Rd,Des Moines,IA,50310,41.629459842905,-93.697624389998
1580 Valley West Dr,West Des Moines,IA,50266,41.596474405872,-93.752075239197
"4520 University Ave, Ste 120",West Des Moines,IA,50266,41.600376759958,-93.766880851486
4625 SE Delaware Ave,Ankeny,IA,50021,41.691145413548,-93.581200441089
"6305 Mills Civic Pkwy, Ste 3105",West Des Moines,IA,50266,41.560793372958,-93.795185455656
"6630 Mills Civic Parkway, #1120",West Des Moines,IA,50266,41.561791754499,-93.797690850332
"3418 8th St SW, Ste 6",Altoona,IA,50009,41.643998245762,-93.503467637846
"2310 SE Delaware Ave, Ste K",Ankeny,IA,50021,41.708310399591,-93.58129191882
"1805 SE Delaware Ave, Ste 1600",Ankeny,IA,50021,41.711506233913,-93.581121832965
"2080 E 1st St, Ste 108",Grimes,IA,50111,41.688345854264,-93.771933162093
"505 E Hickman Rd, Ste 155",Waukee,IA,50263,41.615033760665,-93.862298093265
"1011 N Jefferson Way, Ste 600",Indianola,IA,50125,41.369449446805,-93.55846713865
1004 N Jefferson Way,Indianola,IA,50125,41.369390565866,-93.558314183223
4132 University Ave,Des Moines,IA,50311,41.60028115667,-93.673407912529
1264 E 14th Street,Des Moines,IA,50316,41.601724627721,-93.600574253044
5832 Douglas Ave,Des Moines,IA,50322,41.629345251573,-93.698381974987
1402 E McKinley Ave,Des Moines,IA,50320,41.54063878179,-93.594832292491
900 Army Post Rd,Des Moines,IA,50315,41.526421263525,-93.625773107505
2605 Blairs Ferry Rd NE,Cedar Rapids,IA,52402,42.034684445321,-91.678049901422
223 Collins Rd NE,Cedar Rapids,IA,52402,42.027802588781,-91.629669917868
"5300 Edgewood Rd NE, Ste 900",Cedar Rapids,IA,52411,42.032268907196,-91.70123068466
"4444 1st Ave NE, Ste 600",Cedar Rapids,IA,52402,42.023027997373,-91.627517468221
"5425 Edgewood Rd NE, Ste 300",Cedar Rapids,IA,52411,42.033010696598,-91.701374091692
3500 Williams Blvd SW,Cedar Rapids,IA,52404,41.957046172466,-91.717866765435
"2315 Edgewood Rd SW, Unit 170",Cedar Rapids,IA,52404,41.956243815667,-91.716129847194
"1115 Blairs Ferry Rd NE, Ste 100",Cedar Rapids,IA,52402,42.035148399756,-91.652144570102
"1100 Blairs Ferry Rd NE, Ste 114",Cedar Rapids,IA,52402,42.035261868174,-91.652072538001
"3350 7th Ave, Ste 100",Marion,IA,52302,42.035521811645,-91.576420428237
351 West Kimberly Rd,Davenport,IA,52806,41.560001681096,-90.576800550401
2910 E 53rd St,Davenport,IA,52807,,
3887 Elmore Ave,Davenport,IA,52807,41.559276615301,-90.527090497741
3150 53rd Street,Davenport,IA,52807,41.574928659183,-90.527765013439
909 Middle Rd,Bettendorf,IA,52722,41.539865398119,-90.519008346112
"2174 W Kimberly Rd, #12",Davenport,IA,52806,41.560187276479,-90.607559281057
3388 Middle Rd,Bettendorf,IA,52722,41.551063578292,-90.484934408121
3502 W Kimberly Rd,Davenport,IA,52806,41.560419131663,-90.626352081605
617 E LeClaire Rd,Eldridge,IA,52748,41.654654877969,-90.575800112903
4115 Gordon Dr,Sioux City,IA,51106,42.482240676835,-96.354057526245
5738 Sunnybrook Dr,Sioux City,IA,51106,42.451448157782,-96.332521079162
5832 Sunnybrook Dr,Sioux City,IA,51106,42.447569058581,-96.331112302536
4201 S York St,Sioux City,IA,51106,42.43138152238,-96.369834469242
2800 Hamilton Blvd,Sioux City,IA,51104,42.518845647448,-96.417530163782
"2775 Crossroads Blvd, Ste D",Waterloo,IA,50702,42.463345396408,-92.325005815796
2825 Crossroads Blvd,Waterloo,IA,50702,42.463845764698,-92.32424178816
210 E Tower Park Dr,Waterloo,IA,50701,42.456315262927,-92.353247886087
"421 East Viking Plaza Drive, 900",Cedar Falls,IA,50613,42.483017603656,-92.44278663489
6205 University Ave,Cedar Falls,IA,50613,42.512713030792,-92.428755569132
"1810 4th St SW, Ste 103",Waverly,IA,50677,42.707396960721,-92.475719330981
"314 Brandilynn Blvd, Ste B",Cedar Falls,IA,50613,42.485036395686,-92.443035552271
"1802 4th St SW, Ste 104",Waverly,IA,50677,42.70744324876,-92.475718733668
1029 S Riverside Dr,Iowa City,IA,52246,41.648161591971,-91.540209247412
1705 Boyrum ST,Iowa City,IA,52240,41.643828280882,-91.528035621369
"2439 2nd Street, Suite 6",Coralville,IA,52241,41.684093557726,-91.600292213312
905 25th Ave,Coralville,IA,52241,41.685919155704,-91.603433349351
"780 Community Dr, Ste 3",North Liberty,IA,52317,41.751899042212,-91.610082115235
"806 Wacker Dr, Ste 112",Dubuque,IA,52002,42.495143492288,-90.720328569192
"3450 Dodge St, 102",Dubuque,IA,52003,42.491889736617,-90.722110432056
4400 Asbury Rd,Dubuque,IA,52002,,
4840 Asbury Rd,Dubuque,IA,52002,42.515338517127,-90.742800508819
"2515 NW Arterial Dr, #8",Dubuque,IA,52002,42.518599947324,-90.740892406124
401 Locust St,Dubuque,IA,52001,42.497311393467,-90.666603794582
3203 Manawa Centre Dr,Council Bluffs,IA,51501,41.228056963013,-95.847450063
3221 Manawa Centre Dr,Council Bluffs,IA,51501,41.227522361994,-95.847451163063
"3825 Denmark Dr, Suite 300",Council Bluffs,IA,51501,41.220398662624,-95.834990906455
2015 W Broadway,Council Bluffs,IA,51501,41.261841004608,-95.873778652601
"2133 W Broadway, #21",Council Bluffs,IA,51501,41.261851522929,-95.875886422134
918 S Locust St,Glenwood,IA,51534,41.038068838616,-95.746324998129
"400 S Duff Ave, Ste 102",Ames,IA,50010,42.01921618394,-93.610296901951
305 Airport Rd,Ames,IA,50010,42.001150779124,-93.624846481785
"2925 Grand Ave, Ste 103",Ames,IA,50010,42.050946433878,-93.620740394407
701 S Duff Ave,Ames,IA,50010,42.013717725856,-93.610369045862
705 24th St,Ames,IA,50010,42.045781771788,-93.62062951839
2114 4th Street SW,Mason City,IA,50401,43.148512858216,-93.232722355882
