street,city,state,postal_code,latitude,longitude
2929 E. University Ave.,Des Moines,IA,50317,41.600458021121,-93.560648410181
4132 University Ave.,Des Moines,IA,50311,41.60028115667,-93.673407912529
1402 E. McKinley Ave.,Des Moines,IA,50320,41.54063878179,-93.594832292491
900 Army Post Rd.,Des Moines,IA,50315,41.526421263525,-93.625773107505
3801 Merle Hay Rd.,Des Moines,IA,50310,41.629459842905,-93.697624389998
3418 8th St. SW,Altoona,IA,50009,41.643998245762,-93.503467637846
1580 Valley West Dr.,West Des Moines,IA,50266,41.596474405872,-93.752075239197
3829 100th St.,Urbandale,IA,50322,41.6311019718,-93.755841489608
1805 SE Delaware Ave.,Ankeny,IA,50021,41.711506233913,-93.581121832965
2315 Edgewood Rd SW,Cedar Rapids,IA,52404,41.956243815667,-91.716129847194
4444 1st Ave NE,Cedar Rapids,IA,52402,42.023027997373,-91.627517468221
5300 Edgewood Rd NE,Cedar Rapids,IA,52402,42.032268907196,-91.70123068466
5059 Council St. NE,Cedar Rapids,IA,52402,42.028956198733,-91.658362110052
1624 51st St. NE,Cedar Rapids,IA,52402,42.029840699975,-91.661173535862
115 Collins Rd. NE,Cedar Rapids,IA,52402,42.027033642047,-91.622958273588
2050 Edgewood Rd. SW,Cedar Rapids,IA,52404,41.959268836572,-91.716353273325
2507 Mt. Pleasant St.,Burlington,IA,52601,40.824054016524,-91.131806075806
600 S. Gear Ave.,West Burlington,IA,52655,40.819335040811,-91.169950732832
5823 Sunnybrook Dr.,Sioux City,IA,51106,42.446297516556,-96.330041020977
2001 Cheney Blvd.,Sioux City,IA,51104,,
4201 Morningside Ave.,Sioux City,IA,51106,42.470696409474,-96.353528327548
1609 Pierce St.,Sioux City,IA,51105,42.507692862833,-96.405144424795
618 S. Fairmount St.,Sioux City,IA,51106,42.484931002417,-96.374365571607
3388 Middle Rd.,Bettendorf,IA,52722,41.551063578292,-90.484934408121
3502 W. Kimberly Rd.,Davenport,IA,52806,41.560419131663,-90.626352081605
1733 30th St.,Rock Island,IL,61201,41.493997780588,-90.557174842077
3919 38th Street,Moline,IL,61265,41.471021145524,-90.484941095953
617 E. LeClaire Rd.,Eldridge,IA,52748,41.654654877969,-90.575800112903
1600 John Deere Expy.,Silvis,IL,61282,41.494202170731,-90.405755413948
1225 S. Oakwood Ave.,Geneseo,IL,61254,41.436121643428,-90.156987300104
2775 Crossroads Blvd.,Waterloo,IA,50702,42.463345396408,-92.325005815796
6205 University Ave.,Cedar Falls,IA,50613,42.512713030792,-92.428755569132
314 Brandilynn Blvd.,Cedar Falls,IA,50613,42.485036395686,-92.443035552271
1802 4th St. SW,Waverly,IA,50677,42.70744324876,-92.475718733668
1200 3rd Ave. S.E.,Independence,IA,50644,42.456169809028,-91.890187529487
2500 S.E. Tones Dr.,Ankeny,IA,50021,41.70492409009,-93.572323355995
555 John F Kennedy Rd.,Dubuque,IA,52002,42.496568635636,-90.720759555549
700 Wacker Dr.,Dubuque,IA,52001,42.494562257047,-90.72035695516
880 Main St.,Dubuque,IA,52001,42.501501803263,-90.667470811206
2660 Asbury Rd.,Dubuque,IA,52001,42.508138249113,-90.707468819476
10 Sinsinawa Ave.,East Dubuque,IL,61025,42.494561436446,-90.646373453268
300 Plover Dr.,Platteville,WI,53818,,
201 E Main St.,Platteville,WI,53818,42.733565892258,-90.476083314468
1105 E. First St.,Lancaster,WI,53813,,
402 Indianhead Dr.,Mason City,IA,50401,43.148116138216,-93.26566987887
1321 Main St.,Osage,IA,50461,43.284217525195,-92.800317868559
1626 S. Grand Ave.,Charles City,IA,50616,43.050212153104,-92.671033489617
18 1st St. N.W.,Hampton,IA,50441,42.741992233775,-93.208754137788
106 Highway 69 N,Forest City,IA,50436,43.264181953132,-93.632873665504
648 S. Oak St.,Iowa Falls,IA,50126,42.505549040685,-93.262303854622
106 N. Main St.,Clarion,IA,50525,42.731783799248,-93.732930261509
2925 5th Ave. S,Fort Dodge,IA,50501,42.501166143654,-94.157404320367
200 Red Bull Division,Webster City,IA,50595,42.452075045433,-93.813538007118
320 E State St.,Algona,IA,50511,43.068814061481,-94.233951267855
105 W. Harrison St.,Jefferson,IA,50129,42.014230233666,-94.374881955238
1504 S. Story St.,Boone,IA,50036,42.071127918814,-93.880019010507
