street,city,state,postal_code,latitude,longitude
3714 Merle Hay Rd,Des Moines,IA,50310,41.630163689802,-93.697947258163
101 Jordan Creek Pkwy,West Des Moines,IA,50266,41.566228268639,-93.809395599324
3560 Williams Pkwy SW,Cedar Rapids,IA,52404,41.957435110495,-91.715614903178
151 Collins Rd NE,Cedar Rapids,IA,52402,42.027323075291,-91.623561076429
5735 Sunnybrook Dr,Sioux City,IA,51106,,
2767 Crossroads Blvd,Waterloo,IA,50702,42.463241682221,-92.325143724014
5256 Elmore Ave,Davenport,IA,52807,41.574615147969,-90.528661944651
3627 Denmark Dr,Council Bluffs,IA,51501,41.222941980734,-95.837661925686
2425 2nd St,Coralville,IA,52241,41.683879777582,-91.599880350288
2325 SE Delaware Ave,Ankeny,IA,50021,41.707374342176,-93.58114248737
14811 W Maple Rd,Omaha,NE,68116,41.292070869639,-96.144771542515
12180 L St,Omaha,NE,68137,41.212563689888,-96.105997521383
7604 Dodge St,Omaha,NE,68114,41.259728228866,-96.031693727803
16920 Wright Plz,Omaha,NE,68130,41.233232564155,-96.178782955339
2603 Superior St,Lincoln,NE,68521,40.856971433684,-96.683266183503
3000 Pine Lake Road,Lincoln,NE,68516,40.74096129445,-96.676380575978
5141 O St,Lincoln,NE,68510,40.813345323398,-96.649662520601
1108 Allen Dr,Grand Island,NE,68803,40.929049858094,-98.382134329137
5110 2nd Avenue,Kearney,NE,68847,40.723268057263,-99.083902411797
11651 S 73rd St,Papillion,NE,68046,41.135643281543,-96.02489839342
10531 S 15th St,Bellevue,NE,68123,41.156258818646,-95.934467100942
210 N Nellis Blvd,Las Vegas,NV,89110,36.162971115432,-115.062038442384
9985 S Eastern Ave,Las Vegas,NV,89183,36.007658716634,-115.114895875128
8850 W Charleston Blvd,Las Vegas,NV,89117,36.159084297221,-115.288724172283
7030 S Rainbow Blvd,Las Vegas,NV,89118,36.060709522339,-115.242553306161
6695 Las Vegas Blvd S,Las Vegas,NV,89119,36.066762348177,-115.172300790734
2192 N Rainbow Blvd,Las Vegas,NV,89108,36.199513756128,-115.242202829549
7891 W Tropical Pkwy,Las Vegas,NV,89149,36.270643584396,-115.268129110275
1735 W Craig Rd,North Las Vegas,NV,89032,36.239292147755,-115.166596861429
1351 W Sunset Rd,Henderson,NV,89014,36.063649209707,-115.044519125448
5000 Smithridge Dr,Reno,NV,89502,,
105 Los Altos Pkwy,Sparks,NV,89436,39.583143402969,-119.741504293099
961 Topsy Ln,Carson City,NV,89705,39.110368774125,-119.775692285625
280 N Milwaukee St,Boise,ID,83704,43.607377023782,-116.282297645304
3311 N Eagle Rd,Meridian,ID,83646,43.634763510342,-116.354407987664
2183 E 17th St,Idaho Falls,ID,83404,43.482329631756,-111.990617092104
1322 Caldwell Blvd,Nampa,ID,83651,43.601511106211,-116.59700404582
4333 Yellowstone Ave,Pocatello,ID,83202,42.911651901268,-112.466399658617
540 W Prairie Ave,Coeur D Alene,ID,83815,47.744394613435,-116.794017048884
1239 Poleline Rd E,Twin Falls,ID,83301,42.592061606798,-114.45809719991
